// 1 Mbps - TC with DIFS
        {5, 0.8437},
        {10, 0.7861},
        {15, 0.7496},
        {20, 0.7226},
        {25, 0.7016},
        {30, 0.6847},
        {35, 0.6686},
        {40, 0.6549},
        {45, 0.6435},
        {50, 0.6336},

// 2 Mbps - TC with DIFS
        {5, 1.6228},
        {10, 1.5168},
        {15, 1.4482},
        {20, 1.3972},
        {25, 1.3574},
        {30, 1.3253},
        {35, 1.2947},
        {40, 1.2687},
        {45, 1.2469},
        {50, 1.2279},

// 5.5 Mbps - TC with DIFS
        {5, 3.8896},
        {10, 3.6707},
        {15, 3.5203},
        {20, 3.4063},
        {25, 3.3161},
        {30, 3.2429},
        {35, 3.1729},
        {40, 3.1128},
        {45, 3.0625},
        {50, 3.0184},

// 11 Mbps - TC with DIFS
        {5, 6.4734},
        {10, 6.1774},
        {15, 5.9553},
        {20, 5.7819},
        {25, 5.6429},
        {30, 5.5289},
        {35, 5.4191},
        {40, 5.3243},
        {45, 5.2446},
        {50, 5.1745},

