// 1 Mbps - TC with EIFS
        {5, 0.8418},
        {10, 0.7831},
        {15, 0.7460},
        {20, 0.7186},
        {25, 0.6973},
        {30, 0.6802},
        {35, 0.6639},
        {40, 0.6501},
        {45, 0.6386},
        {50, 0.6285},

// 2 Mbps - TC with EIFS
        {5, 1.6170},
        {10, 1.5075},
        {15, 1.4371},
        {20, 1.3849},
        {25, 1.3442},
        {30, 1.3115},
        {35, 1.2803},
        {40, 1.2538},
        {45, 1.2317},
        {50, 1.2124},

// 5.5 Mbps - TC with EIFS
        {5, 3.8565},
        {10, 3.6170},
        {15, 3.4554},
        {20, 3.3339},
        {25, 3.2385},
        {30, 3.1613},
        {35, 3.0878},
        {40, 3.0249},
        {45, 2.9725},
        {50, 2.9266},

// 11 Mbps - TC with EIFS
        {5, 6.3821},
        {10, 6.0269},
        {15, 5.7718},
        {20, 5.5765},
        {25, 5.4217},
        {30, 5.2958},
        {35, 5.1755},
        {40, 5.0722},
        {45, 4.9860},
        {50, 4.9103},

